iter	MultiClass
0	1.05254512
1	1.015340404
2	0.9858383215
3	0.9586387481
4	0.9364533271
5	0.9172397102
6	0.9001545511
7	0.8850431094
8	0.8729332689
9	0.8615552912
10	0.8534269234
11	0.8436948317
12	0.8346624376
13	0.8271532463
14	0.8211881769
15	0.8159657776
16	0.8112897662
17	0.8072871731
18	0.8036949974
19	0.7990993871
20	0.7949971907
21	0.7915330321
22	0.7893197211
23	0.7859153975
24	0.7833905209
25	0.7819475671
26	0.7789363406
27	0.7769783168
28	0.7767003485
29	0.7751400931
30	0.7736527518
31	0.7719165882
32	0.7715093825
33	0.7713363059
34	0.7701085001
35	0.7684146661
36	0.7668447756
37	0.7654336634
38	0.7641236048
39	0.7638556745
40	0.7626291266
41	0.7613041052
42	0.7604344417
43	0.7597980545
44	0.758870865
45	0.7579702401
46	0.7574829366
47	0.7565156839
48	0.7561279584
49	0.7552264048
50	0.7545449327
51	0.7540088529
52	0.7529728404
53	0.7522616602
54	0.7516815898
55	0.7510936771
56	0.7504962957
57	0.7498012076
58	0.7490749986
59	0.7482129031
60	0.7475696983
61	0.7472986937
62	0.7468729876
63	0.7466987268
64	0.7462326847
65	0.7457030787
66	0.74511095
67	0.7445327363
68	0.7441959973
69	0.7436979472
70	0.743064228
71	0.7425583062
72	0.7424786362
73	0.7421497424
74	0.7417667894
75	0.7414086757
76	0.7411121755
77	0.7406298125
78	0.7402502153
79	0.7400521685
80	0.7397095894
81	0.7393412171
82	0.739038703
83	0.7388132593
84	0.7384111178
85	0.7381610995
86	0.7379559229
87	0.7377114285
88	0.7374522801
89	0.7370876338
90	0.7367110295
91	0.7364809657
92	0.7361395806
93	0.7357343433
94	0.7352852345
95	0.7349913879
96	0.7347360896
97	0.7343034642
98	0.7341045425
99	0.7338019817
