iter	Passed	Remaining
0	1	184
1	4	203
2	6	195
3	8	196
4	10	190
5	12	201
6	14	197
7	16	191
8	18	187
9	20	182
10	22	179
11	23	175
12	25	171
13	27	167
14	29	164
15	31	163
16	32	160
17	35	162
18	38	165
19	41	167
20	43	165
21	45	161
22	47	157
23	48	154
24	50	151
25	52	149
26	54	146
27	56	144
28	57	141
29	60	140
30	62	138
31	64	136
32	66	134
33	67	131
34	69	129
35	71	127
36	73	125
37	75	122
38	77	120
39	79	119
40	82	118
41	83	115
42	85	113
43	87	111
44	89	109
45	93	109
46	95	108
47	100	108
48	105	109
49	106	106
50	108	104
51	110	102
52	112	99
53	114	97
54	115	94
55	117	92
56	119	90
57	121	88
58	124	86
59	126	84
60	128	82
61	129	79
62	131	77
63	133	75
64	135	72
65	137	70
66	138	68
67	140	66
68	142	64
69	146	62
70	149	61
71	152	59
72	153	56
73	155	54
74	157	52
75	159	50
76	161	48
77	163	46
78	165	43
79	166	41
80	169	39
81	171	37
82	174	35
83	176	33
84	180	31
85	183	29
86	185	27
87	186	25
88	189	23
89	194	21
90	196	19
91	198	17
92	200	15
93	202	12
94	203	10
95	205	8
96	207	6
97	209	4
98	211	2
99	213	0
