iter	Accuracy	Logloss
0	0.8103932584	0.6522828422
1	0.8174157303	0.6220278839
2	0.8202247191	0.6001572741
3	0.8202247191	0.5746370812
4	0.8132022472	0.5536637269
5	0.816011236	0.5345353689
6	0.8216292135	0.5184575596
7	0.8146067416	0.5062087591
8	0.8117977528	0.4950087459
9	0.8146067416	0.4857420452
10	0.8202247191	0.4765053059
11	0.8202247191	0.4679367516
12	0.8258426966	0.4594567107
13	0.8244382022	0.454224729
14	0.8258426966	0.4487956065
15	0.8244382022	0.4458125941
16	0.8258426966	0.4430462467
17	0.8258426966	0.4387430265
18	0.827247191	0.4357158465
19	0.827247191	0.4326580033
20	0.8286516854	0.4297633885
21	0.8286516854	0.4270946579
22	0.8286516854	0.424128652
23	0.8286516854	0.4231408024
24	0.8314606742	0.4213233115
25	0.8328651685	0.4205897397
26	0.8286516854	0.4179581376
27	0.8300561798	0.4168000706
28	0.8300561798	0.4156164531
29	0.8300561798	0.41424653
30	0.8300561798	0.4131314562
31	0.8314606742	0.4120664231
32	0.8300561798	0.4112043344
33	0.8286516854	0.4104578826
34	0.8286516854	0.4096311989
35	0.8286516854	0.4091160077
36	0.8286516854	0.4084840666
37	0.8286516854	0.4079993229
38	0.8286516854	0.4075901945
39	0.8286516854	0.4074128357
40	0.8286516854	0.4068783494
41	0.8300561798	0.4055382816
42	0.8300561798	0.4050483502
43	0.8286516854	0.4044734021
44	0.8300561798	0.4035459533
45	0.8300561798	0.4033780339
46	0.8300561798	0.4022052128
47	0.8300561798	0.4020601715
48	0.8314606742	0.4017413055
49	0.8314606742	0.4014991914
50	0.8314606742	0.4006057472
51	0.8342696629	0.4000058611
52	0.8342696629	0.3997887873
53	0.8370786517	0.3990698199
54	0.8356741573	0.3983114193
55	0.8356741573	0.3980576885
56	0.8356741573	0.3978376011
57	0.8370786517	0.397596752
58	0.8370786517	0.3974483442
59	0.8356741573	0.3966940183
60	0.8370786517	0.396453709
61	0.8370786517	0.396318781
62	0.8370786517	0.3959765334
63	0.8370786517	0.3957403341
64	0.8370786517	0.3955835733
65	0.8370786517	0.3955392257
66	0.8370786517	0.3955117409
67	0.8356741573	0.395306117
68	0.8356741573	0.3949890664
69	0.8342696629	0.3940988321
70	0.8342696629	0.3940163709
71	0.8342696629	0.3938950343
72	0.8342696629	0.3938325345
73	0.8342696629	0.393320097
74	0.8342696629	0.3931586969
75	0.8342696629	0.3930529397
76	0.8342696629	0.3929888334
77	0.8356741573	0.3921613233
78	0.8356741573	0.3919311567
79	0.8356741573	0.3918585983
80	0.8384831461	0.3917891376
81	0.8384831461	0.3912467827
82	0.8384831461	0.3911548247
83	0.8384831461	0.3910903162
84	0.8384831461	0.3910164885
85	0.8384831461	0.3909627802
86	0.8384831461	0.3909057245
87	0.8384831461	0.3908482462
88	0.8384831461	0.3907404149
89	0.8384831461	0.3904645645
90	0.8384831461	0.3904110754
91	0.8384831461	0.3901787888
92	0.8384831461	0.3897108097
93	0.8384831461	0.3896101892
94	0.8384831461	0.3895559172
95	0.8384831461	0.3895052148
96	0.8384831461	0.389485778
97	0.8384831461	0.3890703334
98	0.8384831461	0.3885384546
99	0.8384831461	0.3884876218
