iter	Passed	Remaining
0	16	1656
1	34	1680
2	57	1858
3	93	2250
4	124	2358
5	161	2529
6	278	3696
7	309	3560
8	361	3658
9	383	3454
10	403	3266
11	421	3094
12	438	2936
13	458	2818
14	477	2706
15	499	2622
16	514	2513
17	534	2436
18	555	2367
19	580	2322
20	600	2260
21	616	2186
22	632	2117
23	649	2056
24	663	1990
25	701	1997
26	723	1956
27	746	1918
28	771	1887
29	785	1833
30	807	1797
31	827	1757
32	847	1721
33	864	1678
34	881	1637
35	904	1608
36	929	1582
37	953	1555
38	970	1517
39	984	1477
40	1005	1446
41	1031	1425
42	1052	1395
43	1068	1360
44	1084	1325
45	1101	1293
46	1121	1265
47	1146	1242
48	1163	1210
49	1182	1182
50	1204	1157
51	1222	1128
52	1234	1095
53	1251	1065
54	1262	1033
55	1274	1001
56	1285	970
57	1298	940
58	1313	912
59	1329	886
60	1345	860
61	1355	830
62	1369	804
63	1384	778
64	1395	751
65	1410	726
66	1422	700
67	1434	675
68	1447	650
69	1462	626
70	1473	601
71	1488	578
72	1498	554
73	1513	531
74	1525	508
75	1539	486
76	1550	463
77	1565	441
78	1577	419
79	1595	398
80	1613	378
81	1626	356
82	1646	337
83	1669	317
84	1683	297
85	1694	275
86	1711	255
87	1721	234
88	1734	214
89	1749	194
90	1766	174
91	1784	155
92	1794	135
93	1810	115
94	1821	95
95	1836	76
96	1860	57
97	1884	38
98	1894	19
99	1908	0
